Outlets Name,Latitude,Longitude,Company,City,links,State,state_district,county,postcode,suburb,Distance
Sri jagdamba kirana general,17.5054284,78.5949074,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5054284,78.5949074",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.763327795
TANUSREE KGS,17.49458311,78.5874247,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49458311,78.5874247",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.791819332
Maruthi kirana general,17.50294961,78.60068048,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50294961,78.60068048",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.792269848
Durga kirana general,17.49263281,78.60079818,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49263281,78.60079818",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.80226771
Balaji kirana store,17.5059143,78.59340028,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5059143,78.59340028",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,0.821242951
Sri Ganesh kirana,17.48976201,78.59764757,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48976201,78.59764757",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.857428955
Sri Sai kirana general,17.4912755,78.6003473,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4912755,78.6003473",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.865440217
C2 medical,17.5046036,78.58927,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5046036,78.58927",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,0.86808493
Ramdev kirana general,17.50473747,78.58916591,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50473747,78.58916591",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,0.885041814
Ramesh kirana general,17.48963208,78.59883265,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48963208,78.59883265",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.917106206
Sri Hanuman kirana general,17.4895606,78.59894228,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4895606,78.59894228",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.928481984
Naveen kirana general,17.49278846,78.58679189,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49278846,78.58679189",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,0.932844298
Sushmitha kirana general,17.49537754,78.60367541,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49537754,78.60367541",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,0.933460313
Sri balaji kirana general Store,17.4927798,78.5867288,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4927798,78.5867288",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,0.938634831
Sai Krishna kirana general Store,17.50642332,78.59060745,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50642332,78.59060745",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,0.952906434
Yaari house,17.49821753,78.58513478,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49821753,78.58513478",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,0.953478486
Bapanipally brothers kirana general,17.5065275,78.5907119,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5065275,78.5907119",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,0.957993276
New Rajkamal kirana general Store,17.4929229,78.5859604,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4929229,78.5859604",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,0.997332309
SHREE DEV NARAYAN KGS,17.4980675,78.6046734,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4980675,78.6046734",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.001661606
Sona kirana general,17.49496118,78.60427119,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49496118,78.60427119",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.002105645
Sri venkateshwara kirana general,17.4957807,78.5846355,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4957807,78.5846355",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,1.022605683
Laxmi kirana general Store,17.50730355,78.59039387,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50730355,78.59039387",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,1.04181235
Sri Sunil kirana general,17.4881981,78.59881074,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4881981,78.59881074",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.045968801
Baba Kirana general Store,17.50826854,78.59527522,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50826854,78.59527522",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.048745838
Sri sriyade kirana general Store,17.50637339,78.60073684,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50637339,78.60073684",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.050911377
SRI Krishna kgs,17.50066932,78.58453806,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50066932,78.58453806",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 1 Kapra,1.052137872
Naveen pharmacy,17.50831029,78.5951452,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50831029,78.5951452",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,1.052234504
RAJKAMAL KGS,17.49285875,78.58536072,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49285875,78.58536072",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,1.053047634
Sharadha kirana general Store,17.5084748,78.5951754,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5084748,78.5951754",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,1.068809567
Ram kirana general Store,17.50742616,78.58990094,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50742616,78.58990094",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,1.073928155
Hanuman kirana general,17.49607153,78.60526123,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49607153,78.60526123",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.074069774
Sr pan masala,17.4890725,78.6015065,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4890725,78.6015065",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.10915849
Mamatha kirana general,17.4954893,78.6056898,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4954893,78.6056898",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.126868998
Dhanlaxmi kirana general,17.48812963,78.600922,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48812963,78.600922",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.151984904
Sri panduranga swamy kirana general Store,17.49743467,78.58279189,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49743467,78.58279189",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,1.187408433
Bhavani Yash kirana general Store,17.50928049,78.5915259,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50928049,78.5915259",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,1.190154704
Deepak kirana general Store,17.5093746,78.591845,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5093746,78.591845",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,1.191293842
Sri Durga kirana general,17.4988501,78.58273711,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4988501,78.58273711",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 1 Kapra,1.196949984
SREE MATHA KGS,17.49894136,78.58271523,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49894136,78.58271523",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 1 Kapra,1.199963836
Siri renuka ellamma kirana general,17.49759018,78.58258105,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49759018,78.58258105",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 2 Dr A S Rao Nagar,1.208113692
SRI GANESH KGS,17.50324439,78.58375477,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50324439,78.58375477",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,,1.218947476
HONEY FOOD KGS,17.4975693,78.6071397,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4975693,78.6071397",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.248143601
Sri Sai Keerthi kirana general,17.4982746,78.582118,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4982746,78.582118",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 1 Kapra,1.255138946
Jai mathaji kirana general Store,17.49330601,78.60660027,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49330601,78.60660027",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.275731205
PV KGS,17.48795665,78.58626526,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48795665,78.58626526",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.293646998
Bhavani enterprises,17.48607085,78.60026585,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48607085,78.60026585",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.2998985
Santosh kirana general Store,17.49774076,78.58139899,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49774076,78.58139899",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 1 Kapra,1.326151841
Santosh kgs,17.4977827,78.5813428,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4977827,78.5813428",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 1 Kapra,1.331759012
SRI SAI BAKERS,17.49111344,78.58288594,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49111344,78.58288594",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 2 Dr A S Rao Nagar,1.354015341
Tulasi kirana general,17.48576438,78.6009443,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48576438,78.6009443",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.357654659
Shri mataji kirana general Store,17.48520189,78.58872976,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48520189,78.58872976",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,,1.392344991
Sri rajarajeshwari kirana general Store,17.49022098,78.58297104,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49022098,78.58297104",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 2 Dr A S Rao Nagar,1.393086054
Surya medicals,17.49023176,78.58294828,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49023176,78.58294828",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 2 Dr A S Rao Nagar,1.394411072
Gomata kirana general,17.49709759,78.58060747,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49709759,78.58060747",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 1 Kapra,1.407040951
SRI BHAVANI KGS,17.49297134,78.58135733,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49297134,78.58135733",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 2 Dr A S Rao Nagar,1.415198216
Sai Krishna medical,17.4853849,78.60148882,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4853849,78.60148882",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.416829034
Dhanalakshmi traders,17.49277099,78.6081741,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49277099,78.6081741",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.441883211
Dhanalakshmi kirana general Store,17.49277321,78.60819454,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49277321,78.60819454",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.443721781
Nagaraju kirana general,17.5063733,78.5828738,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5063733,78.5828738",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Saket,1.457532266
Sai Manish kirana general,17.48442013,78.58876273,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48442013,78.58876273",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.462120545
Rajaram,17.50670559,78.58294121,Naturo,Hydrabad,"https://www.google.com/maps/search/17.50670559,78.58294121",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,,1.471951607
Sri Sai medical,17.5064223,78.5827215,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5064223,78.5827215",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Saket,1.472739247
Ashok kirana general Store,17.484179,78.58881074,Naturo,Hydrabad,"https://www.google.com/maps/search/17.484179,78.58881074",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.482315611
Bhargavi medical,17.5065868,78.5825861,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5065868,78.5825861",Telangana,Medchal Malkajgiri District,Kapra mandal,,Saket,1.493357149
Prasad kirana general,17.5063523,78.5821227,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5063523,78.5821227",Telangana,Medchal Malkajgiri District,Kapra mandal,500087,Saket,1.51772958
Devi dry fruits,17.48462457,78.60242541,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48462457,78.60242541",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.529262759
Mahalaxmi kirana general,17.48337577,78.58868666,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48337577,78.58868666",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.561148154
TIRUPATHI KGS,17.48778227,78.58246352,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48778227,78.58246352",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 2 Dr A S Rao Nagar,1.578292361
Praveen medical general Store,17.48257354,78.58843158,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48257354,78.58843158",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.64504175
Miracle Baker's,17.4920048,78.6100784,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4920048,78.6100784",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.647086777
Sri venkateshwara kirana general Store,17.48139471,78.59235757,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48139471,78.59235757",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.656525283
DARSHANAM STATIONERY BOOK,17.48233906,78.58826846,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48233906,78.58826846",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.672931847
Tirumala kirana general Store,17.49177841,78.61059042,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49177841,78.61059042",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.70298304
